cluster_id|numero de textos
1|38.0
2|3.0
3|2.0
4|1.0
5|2.0
6|2.0
7|3.0
8|1.0
9|4.0
10|3.0
11|4.0
12|8.0
13|4.0
14|8.0
15|2.0
16|4.0
17|6.0
18|7.0
19|2.0
20|13.0
21|3.0
22|1.0
23|2.0
24|8.0
25|8.0
26|9.0
27|5.0
28|2.0
29|5.0
30|7.0
31|10.0
32|7.0
33|5.0
34|26.0
35|30.0
36|50.0
37|10.0
38|6.0
39|5.0
40|4.0
41|34.0
42|7.0
43|10.0
44|36.0
45|12.0
46|2.0
47|4.0
48|7.0
49|7.0
50|5.0
51|5.0
52|10.0
53|7.0
54|11.0
55|543.0
56|12.0
57|9.0
58|12.0
59|11.0
60|13.0
61|18.0
62|67.0
63|4.0
64|44.0
65|2.0
66|40.0
67|49.0
68|6.0
69|15.0
70|7.0
71|21.0
72|5.0
73|4.0
74|13.0
75|13.0
76|29.0
77|5.0
78|7.0
79|10.0
80|11.0
81|17.0
82|85.0
83|20.0
84|22.0
85|48.0
86|5.0
87|25.0
88|7.0
89|5.0
90|17.0
91|18.0
92|23.0
93|26.0
94|49.0
95|16.0
96|27.0
97|67.0
98|4.0
99|9.0
100|6.0
101|21.0
102|9.0
103|11.0
104|20.0
105|5.0
106|33.0
107|20.0
108|3.0
109|33.0
110|16.0
111|28.0
112|8.0
113|13.0
114|23.0
115|3.0
116|11.0
117|30.0
118|24.0
119|85.0
120|13.0
121|19.0
122|106.0
123|42.0
124|21.0
125|14.0
126|10.0
127|11.0
128|9.0
129|88.0
130|13.0
131|29.0
132|99.0
133|22.0
134|143.0
135|21.0
136|12.0
137|72.0
138|10.0
139|443.0
140|56.0
141|7.0
142|221.0
143|10.0
144|21.0
145|43.0
146|48.0
147|22.0
148|12.0
149|1047.0
150|6.0
151|10.0
152|91.0
153|5.0
154|90.0
155|3.0
156|4.0
157|80.0
